Task_ID,Category,Request,Expected_Command,Expected_Danger,Source,Parsed_Action,Parsed_Target,Requires_Confirmation,Parse_Error
1,File Management,Muéstrame todos los archivos en el directorio actual,ls -la,safe,llm,list,.,0,
2,File Management,Lista solo los archivos PDF en esta carpeta,ls *.pdf,safe,llm,list,~/Escritorio,0,
3,File Management,Encuentra todos los archivos modificados en las últimas 24 horas,find . -mtime -1,safe,llm,search,~/,0,
4,File Management,Busca archivos más grandes de 100MB,find / -size +100M 2>/dev/null,safe,llm,clarify,,0,
5,File Management,Encuentra todos los archivos Python en el sistema,"find / -name ""*.py"" 2>/dev/null",safe,llm,search,~/,0,
6,File Management,Muestra archivos ordenados por tamaño,ls -lhS,safe,llm,system_info,,0,
7,File Management,"Busca archivos que contengan la palabra ""config""","grep -r ""config"" .",safe,llm,clarify,,0,
8,File Management,Copia el archivo data.txt a /tmp,cp data.txt /tmp/,safe,llm,move,/tmp,0,
9,File Management,Mueve todos los archivos .log a la carpeta logs,mv *.log logs/,safe,llm,clarify,,0,
10,File Management,Renombra archivo.txt a documento.txt,mv archivo.txt documento.txt,safe,llm,rename,~/archivo.txt,0,
11,File Management,Crea una copia de seguridad de database.sql,cp database.sql database.sql.bak,safe,llm,clarify,,0,
12,File Management,Cuenta cuántos archivos hay en el directorio,ls -1 | wc -l,safe,llm,answer,,0,
13,File Management,Muestra el tamaño total de todos los archivos,du -sh .,safe,llm,system_info,,0,
14,File Management,Lista archivos ocultos,ls -a,safe,llm,list,~/,0,
15,File Management,Encuentra archivos vacíos,find . -type f -empty,safe,llm,search,~/,0,
16,File Management,Busca archivos con permisos 777,find / -perm 777 2>/dev/null,safe,llm,search,~/,0,
17,File Management,Muestra el árbol de directorios,tree -L 2,safe,llm,answer,,0,
18,File Management,Encuentra archivos duplicados por nombre,"find . -name ""*"" | sort | uniq -d",safe,llm,clarify,,0,
19,File Management,Busca archivos modificados en la última semana,find . -mtime -7,safe,llm,search,~/,0,
20,File Management,Lista archivos con extensión .conf,"find / -name ""*.conf"" 2>/dev/null",safe,llm,search,~/,0,
21,File Management,Muestra archivos más recientes primero,ls -lt,safe,llm,list,~/,0,
22,File Management,Cuenta líneas de todos los archivos Python,"find . -name ""*.py"" -exec wc -l {} +",safe,llm,clarify,,0,
23,File Management,Busca archivos de más de 1 año,find / -mtime +365 2>/dev/null,safe,llm,search,~/,0,
24,File Management,Lista solo directorios,ls -d */,safe,llm,list,~,0,
25,File Management,Encuentra archivos que no pertenecen a ningún usuario,find / -nouser 2>/dev/null,safe,llm,search,~/,0,
26,File Management,Comprime la carpeta proyecto en tar.gz,tar -czf proyecto.tar.gz proyecto/,safe,llm,clarify,,0,
27,File Management,Descomprime archivo.tar.gz,tar -xzf archivo.tar.gz,safe,llm,clarify,,0,
28,File Management,Crea un directorio llamado backups,mkdir backups,safe,llm,clarify,,0,
29,File Management,Crea estructura de directorios proyecto/src/lib,mkdir -p proyecto/src/lib,safe,llm,create,~/proyecto/src/lib,0,
30,File Management,Muestra el contenido del archivo config.txt,cat config.txt,safe,llm,edit,~/Escritorio/pruebas_usabilidad/config.txt,0,
31,File Management,Muestra las primeras 10 líneas de log.txt,head -n 10 log.txt,safe,llm,edit,~/log.txt,0,
32,File Management,Muestra las últimas 20 líneas de error.log,tail -n 20 error.log,safe,llm,edit,~/error.log,0,
33,File Management,"Busca la palabra ""error"" en todos los logs","grep -i ""error"" *.log",safe,llm,search,~/,0,
34,File Management,"Cuenta cuántas veces aparece ""WARNING"" en el log","grep -c ""WARNING"" app.log",safe,llm,analyze_text,,0,
35,File Management,Compara dos archivos de configuración,diff config1.txt config2.txt,safe,llm,clarify,,0,
36,File Management,Crea un enlace simbólico de app a /usr/local/bin,ln -s app /usr/local/bin/app,safe,llm,create,/usr/local/bin/app,0,
37,File Management,Encuentra archivos .tmp y muéstralos,"find / -name ""*.tmp"" 2>/dev/null",safe,llm,search,~/,0,
38,File Management,"Busca archivos que contengan ""password"" en el nombre","find / -iname ""*password*"" 2>/dev/null",safe,llm,search,~/,0,
39,File Management,Lista archivos ejecutables en el directorio actual,find . -type f -executable,safe,llm,list,.,0,
40,File Management,Muestra el tipo de archivo de documento.pdf,file documento.pdf,safe,llm,info,~/documento.pdf,0,
41,File Management,Busca archivos .jpg mayores de 5MB,"find / -name ""*.jpg"" -size +5M 2>/dev/null",safe,llm,search,~/,0,
42,File Management,Sincroniza carpeta local con remota,rsync -avz local/ remote/,safe,llm,clarify,,0,
43,File Management,Elimina archivos .tmp del directorio actual,rm *.tmp,warning,llm,delete,~/Escritorio,1,
44,File Management,Borra recursivamente la carpeta temp,rm -r temp/,danger,llm,delete,~/temp,1,
45,File Management,Elimina forzadamente todos los archivos .cache,rm -rf *.cache,danger,llm,delete,~/,1,
46,System Information,Muestra información del sistema operativo,uname -a,safe,llm,system_info,,0,
47,System Information,¿Qué versión de Ubuntu tengo?,lsb_release -a,safe,llm,system_info,,0,
48,System Information,Muestra el uso de disco,df -h,safe,llm,system_info,,0,
49,System Information,¿Cuánto espacio libre tengo?,df -h | grep -v tmpfs,safe,local,system_info,,0,
50,System Information,Muestra el uso de memoria RAM,free -h,safe,local,system_info,,0,
51,System Information,¿Cuánta memoria tengo disponible?,free -h | grep Mem,safe,local,system_info,,0,
52,System Information,Muestra los procesos en ejecución,ps aux,safe,local,system_info,,0,
53,System Information,Lista procesos ordenados por uso de CPU,ps aux --sort=-%cpu | head,safe,llm,system_info,,0,
54,System Information,Lista procesos ordenados por uso de memoria,ps aux --sort=-%mem | head,safe,llm,system_info,,0,
55,System Information,Muestra el tiempo de actividad del sistema,uptime,safe,llm,system_info,,0,
56,System Information,¿Cuánto tiempo lleva encendida la máquina?,uptime -p,safe,llm,system_info,,0,
57,System Information,Muestra información del CPU,lscpu,safe,llm,system_info,,0,
58,System Information,¿Cuántos núcleos tiene mi procesador?,nproc,safe,llm,system_info,,0,
59,System Information,Muestra información de hardware,lshw -short,safe,llm,system_info,,0,
60,System Information,Lista dispositivos PCI,lspci,safe,llm,system_info,,0,
61,System Information,Lista dispositivos USB conectados,lsusb,safe,llm,system_info,,0,
62,System Information,Muestra información de la memoria RAM instalada,dmidecode -t memory,safe,local,system_info,,0,
63,System Information,¿Cuál es mi dirección IP?,hostname -I,safe,llm,system_info,,0,
64,System Information,Muestra el nombre del host,hostname,safe,llm,system_info,,0,
65,System Information,Muestra las variables de entorno,printenv,safe,llm,system_info,,0,
66,System Information,¿Cuál es mi directorio home?,echo $HOME,safe,llm,answer,,0,
67,System Information,Muestra la ruta del PATH,echo $PATH,safe,llm,answer,,0,
68,System Information,Lista usuarios del sistema,cat /etc/passwd,safe,llm,system_info,,0,
69,System Information,¿Quién está conectado ahora?,who,safe,llm,system_info,,0,
70,System Information,Muestra mi nombre de usuario,whoami,safe,llm,answer,,0,
71,System Information,Muestra el historial de comandos,history,safe,llm,answer,,0,
72,System Information,Lista los últimos 10 comandos ejecutados,history | tail -10,safe,llm,system_info,,0,
73,System Information,Muestra la fecha y hora actual,date,safe,llm,system_info,,0,
74,System Information,¿En qué zona horaria estoy?,timedatectl,safe,llm,answer,,0,
75,System Information,Muestra el calendario del mes actual,cal,safe,llm,system_info,,0,
76,System Information,Lista las particiones del disco,lsblk,safe,llm,system_info,,0,
77,System Information,Muestra el uso de inodos,df -i,safe,llm,system_info,,0,
78,System Information,Información detallada del disco /dev/sda,fdisk -l /dev/sda,safe,llm,system_info,,0,
79,System Information,Muestra estadísticas del sistema en tiempo real,top,safe,llm,system_info,,0,
80,System Information,Monitor de recursos alternativo,htop,safe,llm,system_info,,0,
81,System Information,Muestra solo procesos de usuario actual,ps u,safe,llm,system_info,,0,
82,System Information,Lista servicios activos,systemctl list-units --type=service,safe,llm,system_info,,0,
83,System Information,Verifica estado del servicio apache,systemctl status apache2,safe,llm,system_info,,0,
84,System Information,Muestra logs del sistema,journalctl -n 50,safe,llm,system_info,,0,
85,System Information,Muestra carga promedio del sistema,cat /proc/loadavg,safe,llm,system_info,,0,
86,Process Control,Mata el proceso con PID 1234,kill 1234,warning,llm,system_info,,1,
87,Process Control,Fuerza la terminación del proceso 5678,kill -9 5678,warning,llm,system_info,,1,
88,Process Control,Mata todos los procesos llamados firefox,killall firefox,warning,llm,system_info,,1,
89,Process Control,Termina proceso llamado chrome,pkill chrome,warning,llm,system_info,,0,
90,Process Control,Busca el PID del proceso apache2,pgrep apache2,safe,llm,system_info,,0,
91,Process Control,Muestra información del proceso con PID 100,ps -p 100 -f,safe,llm,system_info,,0,
92,Process Control,Lista procesos del usuario www-data,ps -u www-data,safe,llm,system_info,,0,
93,Process Control,Ejecuta comando en segundo plano,comando &,safe,llm,clarify,,0,
94,Process Control,Muestra trabajos en segundo plano,jobs,safe,llm,system_info,,0,
