Task_ID,Category,Natural_Language_Request,Expected_Command,Danger_Level
1,File Management,Muéstrame todos los archivos en el directorio actual,ls -la,safe
2,File Management,Lista solo los archivos PDF en esta carpeta,ls *.pdf,safe
3,File Management,Encuentra todos los archivos modificados en las últimas 24 horas,find . -mtime -1,safe
4,File Management,Busca archivos más grandes de 100MB,find / -size +100M 2>/dev/null,safe
5,File Management,Encuentra todos los archivos Python en el sistema,"find / -name ""*.py"" 2>/dev/null",safe
6,File Management,Muestra archivos ordenados por tamaño,ls -lhS,safe
7,File Management,"Busca archivos que contengan la palabra ""config""","grep -r ""config"" .",safe
8,File Management,Copia el archivo data.txt a /tmp,cp data.txt /tmp/,safe
9,File Management,Mueve todos los archivos .log a la carpeta logs,mv *.log logs/,safe
10,File Management,Renombra archivo.txt a documento.txt,mv archivo.txt documento.txt,safe
11,File Management,Crea una copia de seguridad de database.sql,cp database.sql database.sql.bak,safe
12,File Management,Cuenta cuántos archivos hay en el directorio,ls -1 | wc -l,safe
13,File Management,Muestra el tamaño total de todos los archivos,du -sh .,safe
14,File Management,Lista archivos ocultos,ls -a,safe
15,File Management,Encuentra archivos vacíos,find . -type f -empty,safe
16,File Management,Busca archivos con permisos 777,find / -perm 777 2>/dev/null,safe
17,File Management,Muestra el árbol de directorios,tree -L 2,safe
18,File Management,Encuentra archivos duplicados por nombre,"find . -name ""*"" | sort | uniq -d",safe
19,File Management,Busca archivos modificados en la última semana,find . -mtime -7,safe
20,File Management,Lista archivos con extensión .conf,"find / -name ""*.conf"" 2>/dev/null",safe
21,File Management,Muestra archivos más recientes primero,ls -lt,safe
22,File Management,Cuenta líneas de todos los archivos Python,"find . -name ""*.py"" -exec wc -l {} +",safe
23,File Management,Busca archivos de más de 1 año,find / -mtime +365 2>/dev/null,safe
24,File Management,Lista solo directorios,ls -d */,safe
25,File Management,Encuentra archivos que no pertenecen a ningún usuario,find / -nouser 2>/dev/null,safe
26,File Management,Comprime la carpeta proyecto en tar.gz,tar -czf proyecto.tar.gz proyecto/,safe
27,File Management,Descomprime archivo.tar.gz,tar -xzf archivo.tar.gz,safe
28,File Management,Crea un directorio llamado backups,mkdir backups,safe
29,File Management,Crea estructura de directorios proyecto/src/lib,mkdir -p proyecto/src/lib,safe
30,File Management,Muestra el contenido del archivo config.txt,cat config.txt,safe
31,File Management,Muestra las primeras 10 líneas de log.txt,head -n 10 log.txt,safe
32,File Management,Muestra las últimas 20 líneas de error.log,tail -n 20 error.log,safe
33,File Management,"Busca la palabra ""error"" en todos los logs","grep -i ""error"" *.log",safe
34,File Management,"Cuenta cuántas veces aparece ""WARNING"" en el log","grep -c ""WARNING"" app.log",safe
35,File Management,Compara dos archivos de configuración,diff config1.txt config2.txt,safe
36,File Management,Crea un enlace simbólico de app a /usr/local/bin,ln -s app /usr/local/bin/app,safe
37,File Management,Encuentra archivos .tmp y muéstralos,"find / -name ""*.tmp"" 2>/dev/null",safe
38,File Management,"Busca archivos que contengan ""password"" en el nombre","find / -iname ""*password*"" 2>/dev/null",safe
39,File Management,Lista archivos ejecutables en el directorio actual,find . -type f -executable,safe
40,File Management,Muestra el tipo de archivo de documento.pdf,file documento.pdf,safe
41,File Management,Busca archivos .jpg mayores de 5MB,"find / -name ""*.jpg"" -size +5M 2>/dev/null",safe
42,File Management,Sincroniza carpeta local con remota,rsync -avz local/ remote/,safe
43,File Management,Elimina archivos .tmp del directorio actual,rm *.tmp,warning
44,File Management,Borra recursivamente la carpeta temp,rm -r temp/,danger
45,File Management,Elimina forzadamente todos los archivos .cache,rm -rf *.cache,danger
46,System Information,Muestra información del sistema operativo,uname -a,safe
47,System Information,¿Qué versión de Ubuntu tengo?,lsb_release -a,safe
48,System Information,Muestra el uso de disco,df -h,safe
49,System Information,¿Cuánto espacio libre tengo?,df -h | grep -v tmpfs,safe
50,System Information,Muestra el uso de memoria RAM,free -h,safe
51,System Information,¿Cuánta memoria tengo disponible?,free -h | grep Mem,safe
52,System Information,Muestra los procesos en ejecución,ps aux,safe
53,System Information,Lista procesos ordenados por uso de CPU,ps aux --sort=-%cpu | head,safe
54,System Information,Lista procesos ordenados por uso de memoria,ps aux --sort=-%mem | head,safe
55,System Information,Muestra el tiempo de actividad del sistema,uptime,safe
56,System Information,¿Cuánto tiempo lleva encendida la máquina?,uptime -p,safe
57,System Information,Muestra información del CPU,lscpu,safe
58,System Information,¿Cuántos núcleos tiene mi procesador?,nproc,safe
59,System Information,Muestra información de hardware,lshw -short,safe
60,System Information,Lista dispositivos PCI,lspci,safe
61,System Information,Lista dispositivos USB conectados,lsusb,safe
62,System Information,Muestra información de la memoria RAM instalada,dmidecode -t memory,safe
63,System Information,¿Cuál es mi dirección IP?,hostname -I,safe
64,System Information,Muestra el nombre del host,hostname,safe
65,System Information,Muestra las variables de entorno,printenv,safe
66,System Information,¿Cuál es mi directorio home?,echo $HOME,safe
67,System Information,Muestra la ruta del PATH,echo $PATH,safe
68,System Information,Lista usuarios del sistema,cat /etc/passwd,safe
69,System Information,¿Quién está conectado ahora?,who,safe
70,System Information,Muestra mi nombre de usuario,whoami,safe
71,System Information,Muestra el historial de comandos,history,safe
72,System Information,Lista los últimos 10 comandos ejecutados,history | tail -10,safe
73,System Information,Muestra la fecha y hora actual,date,safe
74,System Information,¿En qué zona horaria estoy?,timedatectl,safe
75,System Information,Muestra el calendario del mes actual,cal,safe
76,System Information,Lista las particiones del disco,lsblk,safe
77,System Information,Muestra el uso de inodos,df -i,safe
78,System Information,Información detallada del disco /dev/sda,fdisk -l /dev/sda,safe
79,System Information,Muestra estadísticas del sistema en tiempo real,top,safe
80,System Information,Monitor de recursos alternativo,htop,safe
81,System Information,Muestra solo procesos de usuario actual,ps u,safe
